/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): Calibrated XRF-scanning data (mm resolution) for elements Al, Ba, Mo, Ti, and U in Mediterranean core 64PE406-E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923191, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 33.301670 * LONGITUDE: 33.395000
	MINIMUM DEPTH, sediment/rock: 0.011 m * MAXIMUM DEPTH, sediment/rock: 7.736 m
Event(s):	64PE406-E1 * LATITUDE: 33.301670 * LONGITUDE: 33.395000 * ELEVATION: -1760.0 m * CAMPAIGN: 64PE406 (NESSC EAST MED) (URI: http://melia.nioz.nl/phptoweb/core/melia-core.php?script=viewcruise.inc&crid=64PE406) * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	38360 data points
*/
Age [ka BP]	Depth [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
10.060	0.011	62571.901	808.441	10.112	4364.288	7.590
10.097	0.012	61456.711	787.014	8.261	4185.859	8.060
10.134	0.013	58475.228	697.289	11.415	4338.507	4.333
10.170	0.014	57720.503	611.615	11.234	4161.578	7.184
10.207	0.015	57393.947	510.784	6.970	4305.302	8.979
10.244	0.016	58456.337	442.773	13.975	4584.641	5.147
10.280	0.017	57126.869	422.287	6.139	4407.285	3.567
10.317	0.018	57351.398	329.174	4.952	4479.737	5.301
10.353	0.019	56312.377	385.476	8.890	4929.707	4.449
10.390	0.020	58888.274	302.814	4.951	4663.650	5.022
10.427	0.021	58508.214	267.331	3.460	4912.912	2.273
10.463	0.022	57919.059	236.420	5.392	5209.868	3.397
10.500	0.023	56905.433	185.385	4.483	5089.597	4.282
10.540	0.024	54360.331	163.214	3.995	4892.207	1.851
10.580	0.025	50574.679	155.964	2.651	4719.995	1.756
10.619	0.026	49247.120	162.426	1.404	4427.844	1.628
10.659	0.027	46396.411	142.814	1.687	4209.004	2.230
10.699	0.028	43146.088	179.024	2.057	3829.177	1.476
10.739	0.029	43146.977	158.032	2.018	3643.704	2.724
10.779	0.030	39583.325	201.299	2.481	3391.491	2.554
10.819	0.031	39546.350	191.974	2.705	3501.508	2.076
10.858	0.032	39951.856	131.962	1.438	3802.522	1.802
10.898	0.033	43071.486	154.229	2.450	4150.358	0.771
10.938	0.034	46299.875	130.715	3.400	4693.891	0.644
10.978	0.035	50618.720	211.510	1.322	4528.194	0.718
11.018	0.036	50539.747	191.393	0.927	4612.741	1.127
11.058	0.037	50766.128	207.530	1.378	4496.033	1.046
11.097	0.038	51988.558	227.519	1.612	4881.439	1.932
11.137	0.039	51826.193	233.236	2.065	4607.300	1.147
11.177	0.040	53287.988	226.635	1.767	4624.823	1.942
11.217	0.041	51325.940	199.662	1.902	4723.742	2.732
11.257	0.042	53596.176	263.756	1.383	4463.907	1.872
11.297	0.043	47776.387	257.216	1.571	3945.259	2.273
11.336	0.044	47560.876	219.030	1.336	4116.158	0.700
11.376	0.045	50685.587	230.800	2.064	4225.216	1.225
11.416	0.046	49893.126	216.487	1.715	4407.815	0.791
11.456	0.047	49466.317	135.236	2.489	4346.101	1.296
11.496	0.048	46515.696	146.972	1.477	4269.241	0.955
11.536	0.049	45947.429	203.133	2.642	4175.679	1.335
11.575	0.050	46822.683	215.992	2.377	4051.762	1.640
11.615	0.051	43810.117	150.717	1.880	3846.546	1.573
11.655	0.052	44830.972	184.128	1.797	4100.988	1.643
11.695	0.053	43496.853	216.012	2.141	3832.545	1.094
11.735	0.054	41612.684	174.142	1.689	3706.431	1.247
11.775	0.055	44191.531	124.859	1.687	3820.475	0.530
11.814	0.056	42384.521	158.076	0.992	3829.324	1.196
11.854	0.057	41585.240	117.172	1.093	3890.367	0.986
11.894	0.058	41188.794	135.744	1.276	3813.095	0.721
11.934	0.059	41152.380	173.444	1.599	3949.906	1.247
11.974	0.060	42443.850	189.130	2.028	3512.983	2.122
12.014	0.061	41094.947	130.085	1.101	3633.117	0.669
12.053	0.062	43253.163	149.290	2.790	3811.927	1.541
12.093	0.063	43799.019	215.504	2.277	4062.413	1.195
12.133	0.064	42452.941	203.919	1.625	3799.606	1.114
12.173	0.065	42011.016	152.639	1.541	3855.568	1.113
12.213	0.066	42413.446	159.529	1.558	3696.413	0.847
12.253	0.067	43520.140	160.435	3.889	4059.699	0.906
12.292	0.068	42642.268	166.689	1.757	3994.460	0.859
12.332	0.069	44059.961	149.000	1.631	3915.689	0.918
12.372	0.070	45865.628	220.136	2.236	3933.954	0.865
12.412	0.071	49817.091	166.790	2.944	4536.183	2.709
12.452	0.072	46590.358	184.437	2.033	4082.376	0.628
12.492	0.073	49224.608	252.358	3.776	4431.796	2.192
12.531	0.074	50333.552	254.577	2.997	4510.134	2.767
12.571	0.075	50602.641	213.954	1.800	4571.942	1.053
12.611	0.076	47706.473	220.200	2.358	4254.508	1.872
12.651	0.077	47169.679	325.714	3.201	4094.276	2.355
12.691	0.078	46622.074	245.518	3.271	4497.314	0.692
12.730	0.079	44534.872	196.547	3.488	4388.402	1.472
12.770	0.080	42194.224	174.920	2.348	3759.437	1.369
12.810	0.081	41479.552	179.446	1.176	3904.057	1.114
12.850	0.082	44199.180	196.018	1.657	3872.988	1.643
12.890	0.083	45845.474	189.610	1.965	3987.216	2.173
12.930	0.084	45138.144	162.856	3.593	4468.049	1.063
12.969	0.085	50006.380	269.786	2.304	4351.370	2.487
13.009	0.086	49764.053	201.606	2.338	4670.437	1.476
13.049	0.087	49620.974	262.018	7.200	4561.017	1.999
13.089	0.088	50876.150	295.668	4.966	4850.868	3.026
13.129	0.089	50708.025	197.584	2.129	4772.281	1.752
