/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): Calibrated XRF-scanning data (mm resolution) for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS21PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923192, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 32.344970 * LONGITUDE: 31.650080
	DATE/TIME START: 2004-06-29T07:59:57 * DATE/TIME END: 2004-06-29T07:59:57
	MINIMUM DEPTH, sediment/rock: 0.011 m * MAXIMUM DEPTH, sediment/rock: 7.516 m
Event(s):	MS21PC (MIMES_43) * LATITUDE: 32.344970 * LONGITUDE: 31.650080 * DATE/TIME: 2004-06-29T07:59:57 * ELEVATION: -1022.0 m * LOCATION: Osiris & Amon Mud Volcano * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS21PC Bottom
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	37300 data points
*/
Age [ka BP]	Depth [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
0.231	0.011	61328.810	239.502	7.925	5488.676	5.289
0.257	0.012	61291.596	144.676	7.735	5332.626	3.619
0.283	0.013	60749.010	183.431	7.311	5243.937	3.263
0.309	0.014	61106.478	148.340	8.084	5621.532	3.530
0.335	0.015	63182.844	141.509	5.294	5519.030	3.048
0.361	0.016	63199.983	265.673	5.267	5566.181	3.836
0.387	0.017	62960.735	154.674	4.142	5564.311	2.922
0.412	0.018	61633.187	174.139	4.041	5266.483	3.417
0.438	0.019	64331.834	158.946	4.512	5369.334	2.580
0.464	0.020	63704.106	190.907	5.116	5439.784	1.465
0.490	0.021	65464.472	172.463	4.038	5421.430	2.625
0.516	0.022	65521.647	215.953	2.979	5404.099	6.221
0.542	0.023	62848.379	178.284	5.151	5417.463	3.529
0.568	0.024	64648.219	212.326	3.924	5654.022	2.255
0.594	0.025	63441.429	163.846	3.267	5600.906	2.130
0.620	0.026	63372.756	209.280	3.091	5311.888	2.653
0.646	0.027	62688.541	133.752	3.888	5714.824	2.756
0.671	0.028	64604.685	186.165	4.374	5624.202	2.416
0.697	0.029	64752.961	168.845	5.607	5728.126	3.446
0.723	0.030	65669.270	227.929	5.146	5587.806	2.797
0.749	0.031	65202.652	149.554	2.460	5760.259	2.225
0.775	0.032	65865.062	206.960	8.815	5808.811	3.251
0.801	0.033	65934.775	194.697	7.354	5936.811	3.838
0.827	0.034	65290.145	236.659	4.942	5691.642	3.065
0.853	0.035	65417.658	219.517	5.550	5782.648	1.463
0.879	0.036	65229.503	174.297	5.999	5819.327	2.795
0.905	0.037	66893.374	151.179	4.001	5923.401	3.142
0.931	0.038	67306.472	187.569	3.541	6069.171	3.355
0.957	0.039	65443.271	213.393	5.107	5754.081	3.074
0.983	0.040	64639.749	207.078	4.639	5849.647	3.338
1.008	0.041	65053.243	206.008	2.990	5428.563	4.086
1.034	0.042	60043.966	175.091	5.612	5246.160	1.935
1.060	0.043	59319.718	166.254	3.752	5121.870	0.847
1.086	0.044	62372.261	158.031	2.999	5339.831	3.383
1.112	0.045	61820.805	206.546	4.929	5058.240	2.247
1.138	0.046	61723.621	144.949	3.046	5379.530	1.370
1.164	0.047	61523.331	212.373	4.001	5122.868	4.327
1.188	0.048	59683.202	184.988	4.776	4772.369	4.150
1.210	0.049	60096.180	165.698	3.407	4943.484	1.974
1.231	0.050	63434.212	143.482	2.613	5287.629	2.326
1.253	0.051	64905.414	159.668	5.379	5464.221	2.638
1.275	0.052	64148.956	176.113	3.776	5428.603	2.667
1.295	0.053	63864.275	160.824	3.347	5293.099	2.973
1.312	0.054	63707.565	184.603	3.653	5090.175	3.005
1.330	0.055	63508.369	174.049	2.652	5183.281	2.777
1.347	0.056	63145.281	201.518	2.573	4918.802	3.685
1.365	0.057	62558.851	200.482	7.233	5188.505	2.634
1.383	0.058	59147.722	185.318	3.372	4791.458	2.535
1.400	0.059	60488.349	181.311	3.218	5059.579	4.010
