/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): Calibrated XRF-scanning data (mm resolution) for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS66PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923193, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 33.031670 * LONGITUDE: 31.798730
	DATE/TIME START: 2004-07-11T12:12:52 * DATE/TIME END: 2004-07-11T12:12:52
	MINIMUM DEPTH, sediment/rock: 0.395 m * MAXIMUM DEPTH, sediment/rock: 6.305 m
Event(s):	MS66PC (MIMES_96) * LATITUDE: 33.031670 * LONGITUDE: 31.798730 * DATE/TIME: 2004-07-11T12:12:52 * ELEVATION: -1630.0 m * LOCATION: Nile Fan * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS66PC Bottom
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	27445 data points
*/
Age [ka BP]	Depth [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
7.552	0.395	56503.007	535.658	22.371	4668.368	7.884
7.561	0.396	59565.087	559.279	21.893	4649.132	2.792
7.570	0.397	60323.957	600.775	35.495	4559.204	11.923
7.579	0.398	57787.479	544.274	27.013	4403.268	3.885
7.588	0.399	57049.411	470.597	12.870	4223.514	5.801
7.597	0.400	57450.360	612.211	34.231	4245.206	4.171
7.606	0.401	57128.140	854.275	37.636	4293.408	9.401
7.615	0.402	55326.505	818.790	33.855	4320.042	7.422
7.624	0.403	57109.008	758.405	28.204	4332.171	8.208
7.633	0.404	57348.727	803.557	35.941	4175.625	9.074
7.642	0.405	56672.346	809.568	21.477	4143.637	12.310
7.651	0.406	56837.593	743.715	28.791	4233.898	13.953
7.660	0.407	55035.398	737.189	24.243	4193.951	11.136
7.669	0.408	55146.015	897.498	30.549	4045.534	13.330
7.679	0.409	54776.343	757.070	22.731	4011.780	10.291
7.688	0.410	57010.654	737.098	22.296	4284.495	10.815
7.697	0.411	57893.789	798.434	25.243	4212.913	16.570
7.706	0.412	55192.006	673.739	28.355	4099.504	8.477
7.715	0.413	57051.404	762.834	28.772	4381.991	4.772
7.724	0.414	55513.537	604.576	20.747	4250.489	5.278
7.733	0.415	57833.090	719.589	26.907	4365.314	7.312
7.742	0.416	60622.647	675.191	27.668	4530.627	8.247
7.751	0.417	61035.993	642.642	33.465	4516.400	6.557
7.760	0.418	61163.491	653.661	27.439	4552.859	9.512
7.769	0.419	59418.567	617.222	29.714	4537.335	7.733
7.778	0.420	58839.522	606.908	25.573	4505.199	3.806
7.787	0.421	58364.324	622.236	20.922	4520.159	5.468
7.796	0.422	57700.999	660.228	28.350	4545.732	7.551
7.806	0.423	57200.774	581.333	19.870	4434.294	7.151
7.815	0.424	59475.033	512.399	21.491	4761.175	10.862
7.824	0.425	59568.210	435.614	18.217	4891.459	3.306
7.833	0.426	65409.262	556.390	31.505	4976.015	3.059
7.842	0.427	62313.172	675.385	22.095	4757.400	16.701
7.851	0.428	60997.545	658.130	22.129	4517.327	10.496
7.860	0.429	62390.850	735.085	28.607	4613.407	13.410
7.869	0.430	60929.131	690.583	28.953	4611.160	9.208
7.878	0.431	59342.671	725.821	36.601	4409.867	11.510
7.887	0.432	59454.674	598.429	36.049	4481.571	6.657
7.896	0.433	60499.612	687.100	42.674	4594.660	10.685
7.905	0.434	58344.976	591.837	17.085	4531.598	4.059
7.914	0.435	58410.240	654.199	19.437	4462.792	9.866
7.924	0.436	57500.127	559.129	23.622	4392.653	9.639
7.933	0.437	58602.924	641.266	28.948	4520.295	4.744
7.942	0.438	58535.607	602.953	32.551	4611.021	7.716
7.951	0.439	59857.140	589.826	29.594	4682.326	16.158
7.960	0.440	60126.096	532.773	29.387	4571.518	11.530
7.969	0.441	57885.798	596.714	17.839	4490.021	5.749
7.978	0.442	59364.575	550.364	17.321	4644.630	9.411
7.987	0.443	58967.122	566.293	28.906	4473.352	10.480
