/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Jilbert, Tom; Schnetger, Bernhard; de Lange, Gert J (2014): Geochemistry (Ti/Al, Ba/Al, V/Al, organic Carbon) of sediment core PS009PC. PANGAEA, https://doi.org/10.1594/PANGAEA.875640, 
	In supplement to: Hennekam, R et al. (2014): Solar forcing of Nile discharge and sapropel S1 formation in the early to middle Holocene eastern Mediterranean. Paleoceanography, 29(5), 343-356, https://doi.org/10.1002/2013PA002553
Coverage:	LATITUDE: 32.128330 * LONGITUDE: 34.406670
	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 2.7745 m
Event(s):	PASSAP_PS009PC * LATITUDE: 32.128330 * LONGITUDE: 34.406670 * ELEVATION: -552.0 m * Recovery: 6.9 m * CAMPAIGN: PASSAP * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Barium/Aluminium ratio (Ba/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Titanium/Aluminium ratio (Ti/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Vanadium/Aluminium ratio (V/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Carbon, organic, total [%] (TOC) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: Element analyser, Fisons NA 1500
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1851 data points
*/
Depth [m]	Age [ka BP]	Ba/Al	Ti/Al	V/Al	TOC [%]
0.0025	-0.02	0.00350	0.099	0.00206	0.76
0.0075	-0.02	0.00277	0.099	0.00203	
0.0125	-0.01	0.00292	0.099	0.00208	
0.0175	-0.01	0.00286	0.101	0.00211	
0.0225	-0.01	0.00262	0.101	0.00197	
0.0275	0.00	0.00252	0.099	0.00203	0.76
0.0325	0.00	0.00267	0.100	0.00213	
0.0375	0.01	0.00249	0.100	0.00213	
0.0425	0.01	0.00221	0.101	0.00198	
0.0475	0.02	0.00267	0.101	0.00207	
0.0525	0.02	0.00255	0.100	0.00210	0.68
0.0575	0.03	0.00233	0.100	0.00203	
0.0625	0.03	0.00263	0.101	0.00204	
0.0675	0.04	0.00257	0.101	0.00203	
0.0725	0.04	0.00254	0.102	0.00204	
0.0775	0.05	0.00244	0.102	0.00209	0.79
0.0825	0.05	0.00233	0.101	0.00202	
0.0875	0.06	0.00231	0.099	0.00206	
0.0925	0.06	0.00222	0.099	0.00208	
0.0975	0.07	0.00225	0.100	0.00207	
0.1025	0.08	0.00221	0.097	0.00222	0.80
0.1075	0.08	0.00218	0.095	0.00209	
0.1125	0.09	0.00219	0.095	0.00216	
0.1175	0.09	0.00224	0.095	0.00204	
0.1225	0.10	0.00213	0.095	0.00191	
0.1275	0.10	0.00219	0.095	0.00194	0.73
0.1325	0.11	0.00228	0.096	0.00201	
0.1375	0.12	0.00221	0.097	0.00216	
0.1425	0.12	0.00211	0.097	0.00225	
0.1475	0.13	0.00238	0.096	0.00205	
0.1525	0.13	0.00230	0.097	0.00206	0.80
0.1575	0.14	0.00217	0.096	0.00204	
0.1625	0.15	0.00225	0.096	0.00210	
0.1675	0.15	0.00213	0.094	0.00210	
0.1725	0.16	0.00216	0.095	0.00200	
0.1775	0.17	0.00212	0.095	0.00193	0.78
0.1825	0.17	0.00212	0.094	0.00200	
0.1875	0.18	0.00219	0.094	0.00206	
0.1925	0.19	0.00207	0.094	0.00212	
0.1975	0.19	0.00228	0.094	0.00208	
0.2025	0.20	0.00216	0.095	0.00199	0.77
0.2075	0.21	0.00212	0.094	0.00192	
0.2125	0.21	0.00315	0.094	0.00185	
0.2175	0.22	0.00215	0.094	0.00179	
0.2225	0.23	0.00236	0.094	0.00196	
0.2275	0.23	0.00228	0.095	0.00196	0.81
0.2325	0.24	0.00236	0.096	0.00205	
0.2375	0.25	0.00229	0.096	0.00197	
0.2425	0.25	0.00233	0.095	0.00200	
0.2475	0.26	0.00225	0.095	0.00203	
0.2525	0.27	0.00242	0.096	0.00189	0.78
0.2575	0.28	0.00244	0.098	0.00195	
0.2625	0.28	0.00229	0.098	0.00202	
0.2675	0.29	0.00236	0.098	0.00207	
0.2725	0.30	0.00244	0.099	0.00207	
0.2775	0.31	0.00234	0.098	0.00198	0.80
0.2825	0.31	0.00236	0.100	0.00211	
0.2875	0.32	0.00237	0.100	0.00201	
0.2925	0.33	0.00249	0.100	0.00204	
0.2975	0.34	0.00231	0.098	0.00190	
0.3025	0.35	0.00239	0.099	0.00203	0.76
0.3075	0.35	0.00230	0.098	0.00200	
0.3175	0.37	0.00232	0.101	0.00194	
0.3225	0.38	0.00232	0.099	0.00202	
0.3275	0.39	0.00237	0.099	0.00187	0.76
0.3325	0.40	0.00225	0.098	0.00195	
0.3375	0.40	0.00239	0.099	0.00197	
0.3425	0.41	0.00218	0.100	0.00201	
0.3475	0.42	0.00219	0.100	0.00197	
0.3525	0.43	0.00226	0.100	0.00201	0.75
0.3575	0.44	0.00227	0.099	0.00200	
0.3625	0.45	0.00221	0.099	0.00188	
0.3725	0.46	0.00218	0.099	0.00193	
0.3775	0.47	0.00241	0.099	0.00204	0.87
0.3825	0.48	0.00242	0.099	0.00201	
0.3875	0.49	0.00233	0.099	0.00213	
0.3925	0.50	0.00227	0.100	0.00215	
0.3975	0.51	0.00231	0.100	0.00224	
0.4025	0.52	0.00247	0.100	0.00218	0.79
0.4075	0.53	0.00233	0.100	0.00199	
0.4125	0.54	0.00222	0.100	0.00192	
0.4175	0.55	0.00223	0.100	0.00194	
0.4225	0.56	0.00226	0.103	0.00194	
0.4275	0.57	0.00215	0.103	0.00191	0.79
0.4325	0.57	0.00238	0.100	0.00193	
